id,num_parents,true_split,found_split,score_diff,num_iter,method_acc,gmm_acc,kmeans_acc
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
7,1, 0,0,[-860.10755312],2,0,0,0
6,1, 0,0,[-853.26211237],2,0,0,0
8,1, 0,0,[-867.16993896],2,0,0,0
4,2, 0,0,[-849.89600957],2,0,0,0
3,2, 0,0,[-798.59337529],2,0,0,0
9,2, 0,0,[-790.22132094],2,0,0,0
2,2, 1,1,[8764.23236742],2,0.996,0.8892,0.5068
5,2, 1,1,[6733.86949961],2,0.998,0.882,0.586
1,2, 0,0,[-792.48251433],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
9,1, 0,0,[-815.81076204],2,0,0,0
4,2, 1,1,[5151.28497228],2,0.99,0.8864,0.5916
2,1, 0,0,[-791.99126872],2,0,0,0
7,1, 0,0,[-783.15289594],2,0,0,0
5,2, 0,0,[-888.08020288],2,0,0,0
3,2, 1,1,[6040.98504614],3,0.972,0.8756,0.5232
1,2, 0,0,[-927.70295193],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
8,1, 0,0,[-812.67946911],2,0,0,0
7,1, 0,0,[-821.2794762],2,0,0,0
6,2, 0,0,[-949.33343698],2,0,0,0
4,2, 0,0,[-910.83313454],2,0,0,0
2,2, 1,1,[5030.40517703],2,0.9708,0.898,0.5176
9,2, 0,0,[-943.73213551],2,0,0,0
1,2, 0,0,[-863.55258933],2,0,0,0
0,2, 0,0,[-905.82007734],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
1,2, 0,0,[-905.52458015],2,0,0,0
8,1, 0,0,[-815.87618553],2,0,0,0
2,1, 0,0,[-845.40464167],2,0,0,0
0,2, 0,0,[-967.68246376],2,0,0,0
5,2, 0,0,[-905.66852263],2,0,0,0
4,2, 0,0,[-943.59050251],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
3,1, 0,0,[-849.69057853],2,0,0,0
9,2, 0,0,[-945.87672797],2,0,0,0
7,2, 0,0,[-868.39247888],2,0,0,0
8,2, 0,0,[-897.91814608],2,0,0,0
2,1, 1,1,[14249.28769971],2,0.9964,0.9016,0.534
6,2, 0,0,[-956.24499219],2,0,0,0
4,2, 0,0,[-932.17190625],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
8,1, 0,0,[-889.10334912],2,0,0,0
6,2, 0,0,[-958.24064742],2,0,0,0
3,1, 0,0,[-860.93568725],2,0,0,0
2,2, 0,0,[-944.87568897],2,0,0,0
9,2, 1,1,[12404.3841746],2,0.9944,0.8984,0.5248
4,2, 0,0,[-925.54105978],2,0,0,0
0,2, 1,0,[-262.23650332],9,0,0.7704,0.5712
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
8,2, 0,0,[-907.00826946],2,0,0,0
5,2, 0,0,[-898.41135416],2,0,0,0
7,2, 0,0,[-967.47936531],2,0,0,0
3,2, 0,0,[-901.22835707],2,0,0,0
9,2, 0,0,[-894.79818972],2,0,0,0
1,2, 0,0,[-932.5210659],2,0,0,0
4,2, 0,0,[-934.70060475],2,0,0,0
6,2, 1,1,[2100.08722968],2,0.9532,0.8976,0.5648
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
3,2, 0,0,[-913.30831454],2,0,0,0
9,2, 1,1,[4870.39118566],3,0.9664,0.8796,0.596
7,1, 0,0,[-862.08876229],2,0,0,0
2,1, 0,0,[-825.45751537],2,0,0,0
5,2, 0,0,[-957.23861918],2,0,0,0
4,2, 1,1,[3461.2107549],3,0.9608,0.8856,0.648
0,2, 0,0,[-943.11127544],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
8,1, 0,0,[-804.96787423],2,0,0,0
7,1, 0,0,[-886.93456827],2,0,0,0
9,2, 0,0,[-953.33281673],2,0,0,0
2,2, 0,0,[-892.1704762],2,0,0,0
6,2, 0,0,[-936.60688],2,0,0,0
5,2, 1,1,[7079.19914114],2,0.9936,0.9,0.534
0,2, 0,0,[-867.93679173],2,0,0,0
1,2, 0,1,[3815.19569058],5,0.5272,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
9,2, 0,0,[-949.09924209],2,0,0,0
7,2, 1,1,[2751.39061469],2,0.9564,0.8884,0.5296
4,2, 0,0,[-959.61397911],2,0,0,0
8,2, 1,0,[-1051.4385875],2,0,0.8716,0.8412
6,2, 0,0,[-940.08236656],2,0,0,0
0,2, 0,0,[-908.68453757],2,0,0,0
5,2, 0,0,[-946.08117753],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
6,1, 0,0,[-827.91232481],2,0,0,0
8,1, 0,0,[-783.10739413],2,0,0,0
9,1, 0,0,[-819.52162236],2,0,0,0
7,1, 1,1,[4804.5323413],2,0.9956,0.8924,0.5492
5,1, 0,0,[-755.39449399],2,0,0,0
4,2, 0,0,[-870.87393091],2,0,0,0
3,2, 0,0,[-941.09025324],2,0,0,0
1,2, 0,0,[-852.21428789],2,0,0,0
0,2, 1,1,[12632.12430894],2,0.9984,0.8932,0.518
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
5,2, 0,0,[-948.01631133],2,0,0,0
4,2, 0,0,[-963.04208147],2,0,0,0
9,2, 0,0,[-934.84044082],2,0,0,0
2,2, 0,0,[-925.33433624],2,0,0,0
3,1, 0,0,[-834.98635738],2,0,0,0
8,2, 1,1,[7579.39231148],2,0.9952,0.8948,0.6268
1,2, 1,1,[7732.50074799],2,0.9896,0.8992,0.5936
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
3,2, 0,0,[-868.34638573],2,0,0,0
4,2, 0,0,[-957.69389203],2,0,0,0
2,1, 0,0,[-804.76613309],2,0,0,0
9,2, 0,0,[-864.68579791],2,0,0,0
8,2, 1,1,[10513.19966345],2,0.9968,0.896,0.5244
1,2, 0,1,[1409.95880056],3,0.922,0,0
0,2, 0,0,[-959.55921094],2,0,0,0
7,2, 0,0,[-927.16430481],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
5,1, 1,1,[2834.06126233],2,0.9556,0.8832,0.5372
7,2, 0,0,[-925.15065284],2,0,0,0
6,1, 0,0,[-882.6636707],2,0,0,0
9,2, 0,0,[-915.63011267],2,0,0,0
8,2, 0,0,[-988.63889129],2,0,0,0
3,2, 0,0,[-847.08260647],2,0,0,0
1,2, 0,0,[-913.2966899],2,0,0,0
2,2, 1,1,[1575.49775365],3,0.5228,0.6336,0.5424
0,2, 0,0,[-913.53622702],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
6,1, 0,0,[-785.12582955],2,0,0,0
9,2, 0,0,[-912.27618668],2,0,0,0
3,1, 1,1,[3094.33951698],2,0.9424,0.8744,0.7004
5,2, 0,0,[-976.38996859],2,0,0,0
2,2, 0,0,[-976.46905666],2,0,0,0
1,2, 0,0,[-877.12565313],2,0,0,0
0,2, 0,0,[-902.56270842],2,0,0,0
8,2, 1,1,[3266.33534786],7,0.9836,0.7916,0.824
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
4,1, 0,0,[-790.43676247],2,0,0,0
6,2, 1,1,[6305.16492923],5,0.5324,0.8328,0.8552
8,2, 0,0,[-932.58136753],2,0,0,0
3,2, 0,0,[-949.40218505],2,0,0,0
7,2, 0,1,[359.13050757],3,0.8636,0,0
5,2, 0,1,[3285.176848],3,0.9468,0,0
2,2, 0,0,[-925.63975671],2,0,0,0
1,2, 0,0,[-239.91305351],4,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
9,1, 0,0,[-765.20950114],2,0,0,0
7,2, 0,0,[-945.16228834],2,0,0,0
6,2, 0,0,[-939.9515281],2,0,0,0
2,2, 1,1,[3447.85333629],2,0.9764,0.894,0.544
5,2, 1,0,[-70.5656603],2,0,0.8692,0.8232
4,1, 0,0,[-816.72118661],2,0,0,0
1,1, 0,0,[-792.2736083],2,0,0,0
3,2, 0,0,[-792.92778446],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
1,1, 1,1,[6658.7847305],2,0.9808,0.8812,0.8
5,2, 0,0,[-894.47578279],2,0,0,0
4,1, 0,0,[-801.82948256],2,0,0,0
2,2, 0,0,[-916.3932514],2,0,0,0
9,2, 0,0,[-932.82802699],2,0,0,0
8,2, 1,0,[-586.36821903],2,0,0.8236,0.8028
6,2, 0,0,[-885.63248964],2,0,0,0
0,2, 0,0,[-516.64877734],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
5,2, 0,0,[-881.00481178],2,0,0,0
