x,y,y_pred
-2.239578199999999963e+00,1.245356799999999931e+00,1.281204774673198710e+00
-2.238334899999999905e+00,1.253184199999999970e+00,1.280784521918924446e+00
-2.237915099999999935e+00,1.255329099999999976e+00,1.280642623659256962e+00
-2.237592499999999873e+00,9.872087999999999974e-01,1.280533580356330248e+00
-2.216087900000000221e+00,1.322367199999999965e+00,1.273264725390055974e+00
-2.215739699999999868e+00,1.026586100000000057e+00,1.273147028929798363e+00
-2.213741600000000087e+00,1.061050599999999955e+00,1.272471643239847738e+00
-2.210416899999999796e+00,1.394457300000000011e+00,1.271347848232901701e+00
-2.208597600000000050e+00,1.055513700000000110e+00,1.270732899438683505e+00
-2.208319799999999944e+00,9.601537999999999462e-01,1.270638999161085803e+00
-2.207128700000000165e+00,9.668278000000000150e-01,1.270236390735431486e+00
-2.197376999999999914e+00,1.201269799999999943e+00,1.266940180018904627e+00
-2.190665899999999944e+00,1.179834599999999956e+00,1.264671734543789450e+00
-2.179409099999999988e+00,1.187946100000000005e+00,1.260866779018722461e+00
-2.178218499999999835e+00,1.094693099999999975e+00,1.260464339600047223e+00
-2.175426799999999883e+00,1.112590799999999991e+00,1.259520706032840609e+00
-2.169570000000000221e+00,1.094625900000000041e+00,1.257541025882246366e+00
-2.163650800000000096e+00,9.124685000000000157e-01,1.255540253660657690e+00
-2.155357400000000201e+00,8.003297999999999801e-01,1.252736968699426523e+00
-2.153213500000000113e+00,1.049329299999999909e+00,1.252012300574365078e+00
-2.147691800000000040e+00,1.140455500000000066e+00,1.250145888901175173e+00
-2.146159400000000161e+00,8.924628999999999479e-01,1.249627916311575104e+00
-2.135444500000000190e+00,9.910147000000000261e-01,1.246006130550476154e+00
-2.118800900000000098e+00,9.371985000000000454e-01,1.240380361435185375e+00
-2.118658700000000117e+00,9.254892000000000118e-01,1.240332295850324007e+00
-2.099470800000000192e+00,2.669277699999999864e+00,1.233846517821094446e+00
-2.097664299999999926e+00,1.055332600000000065e+00,1.233235895605541810e+00
-2.059468999999999994e+00,9.400231000000000003e-01,1.220325351066543940e+00
-2.058345999999999787e+00,1.064814699999999892e+00,1.219945761391445282e+00
-2.058270100000000102e+00,8.431707000000000507e-01,1.219920106132015292e+00
-2.056926600000000160e+00,1.006880900000000079e+00,1.219465984379125567e+00
-2.055565999999999782e+00,8.963404999999999845e-01,1.219006082587549944e+00
-2.055565999999999782e+00,1.360664199999999990e+00,1.219006082587549944e+00
-2.054806099999999969e+00,9.739885000000000348e-01,1.218749225780686896e+00
-2.054792200000000069e+00,3.040567999999999937e+00,1.218744527386667498e+00
-2.050519500000000050e+00,8.762368000000000379e-01,1.217300295147314193e+00
-2.048101799999999972e+00,9.169781000000000182e-01,1.216483078800487672e+00
-2.047093999999999969e+00,3.008938999999999808e+00,1.216142428333377934e+00
-2.046321799999999858e+00,2.725491100000000166e+00,1.215881413954828183e+00
-2.033942199999999811e+00,1.044992700000000108e+00,1.211696936357454346e+00
-2.030279499999999793e+00,1.266608200000000073e+00,1.210458892632624517e+00
-2.029436299999999971e+00,7.734889999999999821e-01,1.210173879263040320e+00
-2.023497199999999996e+00,9.701427999999999718e-01,1.208166380563683084e+00
-2.017249300000000023e+00,9.385379999999999834e-01,1.206054503154022628e+00
-1.992762700000000109e+00,1.086093100000000033e+00,1.197777690564289843e+00
-1.981540400000000091e+00,8.927762999999999671e-01,1.193984396520782143e+00
-1.980045099999999891e+00,1.000471200000000005e+00,1.193478964249032215e+00
-1.968984499999999915e+00,2.484505200000000080e+00,1.189740327062571046e+00
-1.968984499999999915e+00,2.389236200000000032e+00,1.189740327062571046e+00
-1.967378000000000071e+00,1.011843999999999966e+00,1.189197307638665713e+00
-1.956428899999999915e+00,1.273356300000000108e+00,1.185496359008547662e+00
-1.944087600000000027e+00,1.011788399999999921e+00,1.181324827345774153e+00
-1.936785699999999943e+00,1.201681500000000069e+00,1.178856683224133395e+00
-1.936785699999999943e+00,7.493541000000000230e-01,1.178856683224133395e+00
-1.934819400000000078e+00,1.013109599999999944e+00,1.178192046378054414e+00
-1.910522599999999960e+00,1.132603900000000108e+00,1.169979388837594669e+00
-1.910100099999999967e+00,1.083576199999999989e+00,1.169836577940240208e+00
-1.910100099999999967e+00,1.254795600000000011e+00,1.169836577940240208e+00
-1.905487500000000001e+00,9.505850999999999607e-01,1.168277454756482481e+00
-1.901084400000000008e+00,7.830920999999999577e-01,1.166789145496974989e+00
-1.898844500000000046e+00,2.585356400000000221e+00,1.166032028031922962e+00
-1.890240900000000002e+00,9.134984999999999911e-01,1.163123891140846800e+00
-1.889260699999999904e+00,8.501339999999999453e-01,1.162792569858984271e+00
-1.884092399999999889e+00,8.761875000000000080e-01,1.161045612318635012e+00
-1.881369700000000034e+00,1.099119200000000074e+00,1.160125301714546975e+00
-1.875941700000000045e+00,8.055371000000000059e-01,1.158290561949243846e+00
-1.873299100000000106e+00,9.302637000000000267e-01,1.157397326263210457e+00
-1.864051600000000031e+00,6.412263000000000268e-01,1.154271542184426291e+00
-1.859706499999999929e+00,2.765956000000000081e+00,1.152802837734496544e+00
-1.858778100000000100e+00,6.451476999999999906e-01,1.152489025575670567e+00
-1.852397599999999978e+00,1.130060499999999912e+00,1.150332327515148245e+00
-1.834476299999999949e+00,8.286664999999999726e-01,1.144274677965419595e+00
-1.830177500000000013e+00,1.017430499999999904e+00,1.142821623561756317e+00
-1.818131500000000011e+00,6.256490999999999580e-01,1.138749907420849805e+00
-1.814401699999999895e+00,9.677099999999999591e-01,1.137489182959422473e+00
-1.813357300000000061e+00,8.049262999999999835e-01,1.137136161181441230e+00
-1.812790799999999924e+00,1.066834099999999896e+00,1.136944676274100674e+00
-1.812590600000000052e+00,6.472065999999999653e-01,1.136877005879662006e+00
-1.810682700000000089e+00,2.473092999999999986e+00,1.136232109048743943e+00
-1.802924200000000088e+00,1.076556099999999905e+00,1.133609627753773053e+00
-1.802763300000000068e+00,6.299398000000000497e-01,1.133555241307892869e+00
-1.800353799999999893e+00,1.053460599999999969e+00,1.132740796675524075e+00
-1.798072099999999951e+00,8.626462999999999770e-01,1.131969550227017729e+00
-1.797108799999999951e+00,8.523252000000000050e-01,1.131643941381049290e+00
-1.794260200000000083e+00,2.484379800000000138e+00,1.130681074819619436e+00
-1.793182499999999902e+00,2.702461800000000025e+00,1.130316797176828647e+00
-1.792820700000000045e+00,8.148290000000000255e-01,1.130194503726739352e+00
-1.787595899999999904e+00,8.950194000000000205e-01,1.128428448397749584e+00
-1.786492699999999934e+00,1.102154499999999926e+00,1.128055551399023804e+00
-1.783179199999999964e+00,2.994900799999999919e+00,1.126935542148410185e+00
-1.782855199999999973e+00,6.450299000000000449e-01,1.126826025625941696e+00
-1.779491799999999957e+00,9.539950999999999848e-01,1.125689149478812157e+00
-1.764115000000000100e+00,7.819378000000000162e-01,1.120491576445814319e+00
-1.758453299999999997e+00,6.629192999999999891e-01,1.118577842818471391e+00
-1.752448000000000006e+00,8.988365000000000382e-01,1.116547967595078905e+00
-1.750528899999999943e+00,7.702672999999999881e-01,1.115899285007829089e+00
-1.749090400000000045e+00,2.447147399999999973e+00,1.115413051928907162e+00
-1.744839900000000110e+00,9.113206999999999836e-01,1.113976323599426443e+00
