x,y,y_pred
-2.315267400000000197e+00,1.924141099999999938e+00,2.129102584212963833e+00
-2.311590600000000162e+00,1.791096900000000103e+00,2.125718043793432876e+00
-2.307889100000000138e+00,2.004209299999999860e+00,2.122310766714752273e+00
-2.294511899999999827e+00,1.768800200000000045e+00,2.109996886683163098e+00
-2.269133200000000183e+00,1.838737800000000089e+00,2.086635475688508379e+00
-2.268908399999999936e+00,2.149093800000000165e+00,2.086428544474868918e+00
-2.263860999999999901e+00,2.729968099999999787e+00,2.081782349600646231e+00
-2.259244999999999948e+00,2.599631800000000048e+00,2.077533263825909415e+00
-2.253899600000000003e+00,2.360632700000000028e+00,2.072612756221861918e+00
-2.253234700000000146e+00,2.250137099999999890e+00,2.072000707449847212e+00
-2.233955599999999819e+00,2.156690900000000077e+00,2.054254054598950052e+00
-2.229105500000000184e+00,1.841182700000000061e+00,2.049789476844173119e+00
-2.205674800000000157e+00,1.643475599999999925e+00,2.028221224231057551e+00
-2.191979499999999970e+00,2.401786299999999930e+00,2.015614529168067826e+00
-2.189985899999999930e+00,1.384884100000000062e+00,2.013779395415789875e+00
-2.189966599999999985e+00,1.737102300000000099e+00,2.013761629524227548e+00
-2.186651599999999807e+00,2.827291999999999916e+00,2.010710130533054141e+00
-2.184478899999999779e+00,2.346544399999999975e+00,2.008710132989125707e+00
-2.180183200000000099e+00,1.899640900000000077e+00,2.004755887373325329e+00
-2.177946400000000171e+00,2.294925800000000127e+00,2.002696884977109182e+00
-2.177568599999999854e+00,2.131276100000000007e+00,2.002349115348492248e+00
-2.170119699999999874e+00,1.831393599999999955e+00,1.995492309666637487e+00
-2.135228600000000032e+00,1.930701699999999965e+00,1.963374615412967872e+00
-2.125552499999999956e+00,1.945159700000000047e+00,1.954467644255052816e+00
-2.123899100000000040e+00,1.546920899999999932e+00,1.952945668860783135e+00
-2.108021299999999876e+00,1.827773499999999940e+00,1.938329955231206547e+00
-2.106642799999999927e+00,2.017072100000000034e+00,1.937061028727637080e+00
-2.074840299999999971e+00,2.119764700000000168e+00,1.907786429431475472e+00
-2.057699400000000178e+00,1.622008799999999917e+00,1.892008016442698004e+00
-2.057668000000000053e+00,1.901856500000000061e+00,1.891979112349689629e+00
-2.047113299999999914e+00,2.096027199999999979e+00,1.882263378895048911e+00
-2.047113299999999914e+00,2.024008699999999994e+00,1.882263378895048911e+00
-2.046887200000000018e+00,2.106961300000000037e+00,1.882055251015138264e+00
-2.043952800000000014e+00,1.861277999999999988e+00,1.879354099087627628e+00
-2.030526500000000123e+00,2.081329000000000207e+00,1.866995021891493467e+00
-2.027360299999999782e+00,2.336556199999999972e+00,1.864080495162729889e+00
-2.026246899999999851e+00,1.851039099999999937e+00,1.863055596527202429e+00
-2.014706499999999956e+00,1.424357899999999955e+00,1.852432513885353238e+00
-1.998569700000000005e+00,1.314718000000000053e+00,1.837578387514083422e+00
-1.977384699999999995e+00,1.911851299999999920e+00,1.818077329858578617e+00
-1.971601200000000054e+00,2.337017599999999806e+00,1.812753545721188075e+00
-1.962504000000000026e+00,1.946866999999999903e+00,1.804379459258896201e+00
-1.957001599999999897e+00,2.188053899999999885e+00,1.799314431189807051e+00
-1.956870099999999946e+00,1.929012900000000030e+00,1.799193383793927792e+00
-1.949070400000000092e+00,1.649667299999999948e+00,1.792013662321393808e+00
-1.943676600000000088e+00,2.368731200000000037e+00,1.787048601911562784e+00
-1.941473900000000086e+00,1.888791499999999957e+00,1.785020988992149338e+00
-1.927166600000000063e+00,1.549042299999999983e+00,1.771850940269250385e+00
-1.923217100000000013e+00,1.006271300000000091e+00,1.768215376086554214e+00
-1.918364699999999923e+00,1.687656199999999940e+00,1.763748681152989439e+00
-1.917391899999999927e+00,1.907884899999999995e+00,1.762853206577238874e+00
-1.915357500000000046e+00,1.691284900000000091e+00,1.760980515914300160e+00
-1.911938499999999985e+00,1.822050699999999912e+00,1.757833283621443421e+00
-1.910315500000000055e+00,2.458507200000000115e+00,1.756339291807665459e+00
-1.909186899999999909e+00,2.637436899999999973e+00,1.755300401381892472e+00
-1.894774399999999970e+00,2.107264100000000084e+00,1.742033514742290512e+00
-1.885984700000000069e+00,1.375763099999999906e+00,1.733942485878727346e+00
-1.879172800000000088e+00,1.625098200000000048e+00,1.727672046669686434e+00
-1.875115300000000040e+00,1.388444800000000035e+00,1.723937067135241641e+00
-1.871312499999999934e+00,1.497992299999999943e+00,1.720436542138670477e+00
-1.865625899999999948e+00,1.747284400000000071e+00,1.715201955664098943e+00
-1.861274400000000107e+00,1.514197400000000027e+00,1.711196345449894629e+00
-1.855475100000000044e+00,1.709699700000000044e+00,1.705858017214748168e+00
-1.855475100000000044e+00,1.415482899999999988e+00,1.705858017214748168e+00
-1.843566299999999991e+00,2.097583199999999870e+00,1.694895817761933987e+00
-1.840110300000000088e+00,2.189365000000000006e+00,1.691714526505978311e+00
-1.834276999999999935e+00,1.518692900000000012e+00,1.686344900845281325e+00
-1.833288000000000029e+00,1.680436100000000099e+00,1.685434513966768355e+00
-1.833288000000000029e+00,1.595298300000000058e+00,1.685434513966768355e+00
-1.833173200000000058e+00,1.599540900000000043e+00,1.685328839129910161e+00
-1.828963200000000011e+00,1.053400399999999903e+00,1.681453481436745889e+00
-1.825078699999999943e+00,1.501612100000000005e+00,1.677877750567602355e+00
-1.820914300000000097e+00,1.585357499999999975e+00,1.674044368245177106e+00
-1.813443300000000091e+00,1.332970500000000058e+00,1.667167219236714404e+00
-1.812125200000000103e+00,1.735361600000000060e+00,1.665953891689123001e+00
-1.808540100000000095e+00,1.225117299999999965e+00,1.662653762267327195e+00
-1.805304299999999973e+00,7.571130000000000360e-01,1.659675167867436185e+00
-1.804309799999999964e+00,1.868255900000000080e+00,1.658759718170084163e+00
-1.791569399999999979e+00,1.348938799999999993e+00,1.647032020508805594e+00
-1.790769899999999915e+00,1.606792400000000010e+00,1.646296070752111040e+00
-1.789298400000000067e+00,2.346419800000000055e+00,1.644941536584535902e+00
-1.789298400000000067e+00,1.574562299999999970e+00,1.644941536584535902e+00
-1.787455400000000028e+00,1.965385399999999949e+00,1.643245032017196072e+00
-1.782547499999999951e+00,1.523498400000000030e+00,1.638727248638982559e+00
-1.781758799999999976e+00,1.474053999999999975e+00,1.638001240417462645e+00
-1.780210899999999929e+00,1.646270099999999958e+00,1.636576379093650724e+00
-1.773447999999999913e+00,8.785534000000000399e-01,1.630351044997903065e+00
-1.764917499999999917e+00,2.114935200000000126e+00,1.622498612978536370e+00
-1.764050399999999907e+00,1.494511300000000098e+00,1.621700436575747029e+00
-1.756641700000000084e+00,1.461564499999999933e+00,1.614880635497043526e+00
-1.743434900000000010e+00,2.161542100000000133e+00,1.602723610798213016e+00
-1.737617100000000026e+00,1.505752500000000049e+00,1.597368253081517420e+00
-1.735905999999999949e+00,1.122372900000000007e+00,1.595793164115063334e+00
-1.735359199999999991e+00,1.632899399999999890e+00,1.595289827871209765e+00
-1.735109599999999919e+00,1.958320899999999920e+00,1.595060067947168481e+00
-1.734197999999999906e+00,1.424833500000000086e+00,1.594220928737408949e+00
-1.731689699999999998e+00,7.702506999999999548e-01,1.591912007193047263e+00
-1.730606400000000100e+00,2.192088800000000059e+00,1.590914815984258102e+00
-1.729954100000000050e+00,1.486244700000000085e+00,1.590314365669946328e+00
-1.727539799999999959e+00,1.429918999999999940e+00,1.588091972302106747e+00
-1.726504500000000109e+00,1.159973799999999944e+00,1.587138965694094406e+00
-1.724325099999999944e+00,2.179703400000000180e+00,1.585132800716307688e+00
-1.720367600000000108e+00,1.346130000000000049e+00,1.581489872433482269e+00
-1.713673199999999897e+00,1.530060500000000046e+00,1.575327593445093433e+00
-1.712755299999999981e+00,1.584754400000000008e+00,1.574482655006481657e+00
-1.710622899999999946e+00,1.574673100000000048e+00,1.572519754116956214e+00
-1.707893600000000012e+00,1.573032299999999939e+00,1.570007399306516449e+00
-1.707564499999999930e+00,1.878626399999999919e+00,1.569704458637437794e+00
-1.707093200000000088e+00,1.611304700000000034e+00,1.569270621088557416e+00
-1.706314600000000015e+00,1.367535900000000026e+00,1.568553910043450905e+00
-1.699942899999999923e+00,1.452303600000000028e+00,1.562688680444037193e+00
-1.698513699999999904e+00,1.625176200000000071e+00,1.561373083955896801e+00
-1.698513699999999904e+00,2.536357600000000101e+00,1.561373083955896801e+00
-1.698477999999999932e+00,1.806009999999999893e+00,1.561340221659069050e+00
-1.695994199999999896e+00,1.418983200000000000e+00,1.559053852671353768e+00
-1.695927600000000091e+00,1.261915799999999921e+00,1.558992546537776080e+00
-1.692245199999999894e+00,1.638805999999999985e+00,1.555602851248153895e+00
-1.687461199999999995e+00,1.048683699999999996e+00,1.551199119370696655e+00
-1.682813600000000021e+00,1.913616299999999937e+00,1.546920945400447778e+00
-1.678819400000000073e+00,1.307167200000000085e+00,1.543244234308278395e+00
-1.678064699999999965e+00,1.674237799999999998e+00,1.542549523512308784e+00
-1.677832200000000107e+00,9.492895999999999557e-01,1.542335504352294606e+00
-1.674614499999999895e+00,2.038656200000000140e+00,1.539373571228946691e+00
-1.669405199999999923e+00,1.157117600000000079e+00,1.534578345378353470e+00
-1.666776100000000094e+00,1.683826800000000068e+00,1.532158225922035877e+00
-1.665932799999999991e+00,1.694866299999999937e+00,1.531381957717131925e+00
-1.665863799999999895e+00,2.384769499999999987e+00,1.531318442353514442e+00
-1.660525500000000099e+00,1.905033999999999894e+00,1.526404470388332824e+00
-1.649893700000000019e+00,4.863487000000000227e-01,1.516617765418694086e+00
-1.647192500000000059e+00,1.184096800000000060e+00,1.514131277009959309e+00
-1.640527199999999963e+00,1.648860500000000062e+00,1.507995784935791672e+00
-1.638212500000000071e+00,1.630369100000000016e+00,1.505865074614564536e+00
-1.636452199999999912e+00,1.114224799999999904e+00,1.504244696432313733e+00
-1.627900300000000078e+00,2.138837800000000122e+00,1.496372565445100333e+00
-1.625007599999999996e+00,1.845552300000000034e+00,1.493709798889515161e+00
-1.620079199999999942e+00,1.218083900000000108e+00,1.489173145004719423e+00
-1.617059100000000083e+00,1.460698199999999947e+00,1.486393105154571126e+00
