x,y,y_pred
-3.376221500000000209e+00,-3.820787099999999992e+00,-2.665806531996051998e+00
-3.219135099999999916e+00,-3.129038200000000103e+00,-2.478216172654270633e+00
-3.147412300000000052e+00,-3.334808400000000006e+00,-2.392565818295149693e+00
-3.113171700000000097e+00,-2.954139099999999907e+00,-2.351676177574640647e+00
-2.915467000000000031e+00,2.967923299999999820e+00,-2.115580018285491359e+00
-2.888901199999999836e+00,-2.873756999999999895e+00,-2.083855515284583237e+00
-2.766816700000000129e+00,-2.896271200000000157e+00,-1.938063930366591414e+00
-2.755656099999999942e+00,-2.711848300000000211e+00,-1.924736099539289480e+00
-2.713261300000000098e+00,-2.768800300000000103e+00,-1.874108828392819115e+00
-2.686770399999999892e+00,-2.688926799999999950e+00,-1.842473769913617554e+00
-2.592645399999999878e+00,-2.581720999999999933e+00,-1.730071024844374694e+00
-2.561601500000000087e+00,-2.515346899999999941e+00,-1.692998838096379632e+00
-2.544632700000000192e+00,-2.746483700000000194e+00,-1.672734936895519553e+00
-2.541648200000000024e+00,2.729371899999999851e+00,-1.669170889164744764e+00
-2.506464100000000084e+00,-2.291129900000000053e+00,-1.627154534075334391e+00
-2.484493599999999969e+00,-2.286692700000000134e+00,-1.600917673405546138e+00
-2.462150600000000189e+00,2.368502499999999955e+00,-1.574235978498963906e+00
-2.451367100000000132e+00,-2.032706500000000194e+00,-1.561358475163461046e+00
-2.391430999999999862e+00,-2.033053000000000221e+00,-1.489783631405217523e+00
-2.374397999999999787e+00,-2.083002399999999810e+00,-1.469443063471465472e+00
-2.370172999999999863e+00,2.523537999999999837e+00,-1.464397628168224497e+00
-2.363849500000000159e+00,-2.269500999999999991e+00,-1.456846193815551693e+00
-2.350790400000000169e+00,-2.300464999999999982e+00,-1.441251201112935476e+00
-2.345589899999999783e+00,2.256142399999999881e+00,-1.435040837492933985e+00
-2.340241100000000074e+00,-2.291050900000000112e+00,-1.428653376108324879e+00
-2.339262699999999917e+00,-2.343654900000000207e+00,-1.427484984652539923e+00
-2.306802900000000101e+00,-1.967392000000000030e+00,-1.388721950130376914e+00
-2.278887899999999966e+00,-2.251808500000000102e+00,-1.355386251552868959e+00
-2.270336599999999816e+00,-2.471964499999999898e+00,-1.345174409917696323e+00
-2.248333099999999973e+00,-2.412798099999999835e+00,-1.318898141114178912e+00
-2.234166300000000049e+00,-1.855570900000000023e+00,-1.301980348722710845e+00
-2.224609699999999801e+00,-2.165911299999999873e+00,-1.290567992031834255e+00
-2.220400900000000011e+00,2.116980199999999979e+00,-1.285541902539697245e+00
-2.217422899999999863e+00,-2.074244800000000222e+00,-1.281985617017081358e+00
-2.213717799999999958e+00,-2.213872400000000074e+00,-1.277561038947959915e+00
-2.212979100000000088e+00,1.824327699999999997e+00,-1.276678893845355711e+00
-2.195096700000000123e+00,-2.462114899999999995e+00,-1.255323984433124762e+00
-2.189670599999999911e+00,2.138749100000000070e+00,-1.248844212480718419e+00
-2.173827600000000082e+00,-2.237660400000000216e+00,-1.229924725732968183e+00
-2.169614000000000154e+00,-2.134348899999999993e+00,-1.224892904148652040e+00
-2.162761999999999851e+00,-1.828898399999999924e+00,-1.216710342563372071e+00
-2.129323999999999995e+00,-2.338255900000000054e+00,-1.176779155422598366e+00
-2.122494099999999939e+00,-2.151875299999999935e+00,-1.168622985345058485e+00
-2.117478600000000100e+00,-2.251409799999999795e+00,-1.162633546111116800e+00
-2.112444899999999848e+00,-1.644703599999999932e+00,-1.156622372694329881e+00
-2.111368600000000040e+00,-2.076516600000000157e+00,-1.155337070441814440e+00
-2.104632800000000081e+00,2.085497699999999899e+00,-1.147293273254697210e+00
-2.102484800000000043e+00,1.902196500000000068e+00,-1.144728162004670979e+00
-2.102191899999999780e+00,-1.933389800000000047e+00,-1.144378384963174788e+00
-2.101148600000000144e+00,2.153464699999999787e+00,-1.143132490844389171e+00
-2.074528400000000161e+00,1.726401800000000097e+00,-1.111343024132120938e+00
-2.070800800000000219e+00,-2.043801699999999943e+00,-1.106891576880911332e+00
-2.069637999999999867e+00,-2.161696000000000062e+00,-1.105502977550589350e+00
-2.053877400000000186e+00,-2.064168200000000120e+00,-1.086681891718575876e+00
-2.040901199999999971e+00,2.286377299999999835e+00,-1.071185897024631295e+00
-2.027405100000000182e+00,-2.142851400000000073e+00,-1.055069045096567626e+00
-2.024164600000000203e+00,-1.857956600000000069e+00,-1.051199285782922210e+00
-2.022474100000000163e+00,-1.948002800000000034e+00,-1.049180514568690326e+00
-2.021113800000000182e+00,-1.892974600000000063e+00,-1.047556063528927384e+00
-2.017148099999999999e+00,-1.934507500000000046e+00,-1.042820280621930218e+00
-2.002402899999999875e+00,-1.954960999999999949e+00,-1.025211771122912729e+00
-2.001049200000000194e+00,-2.024170100000000083e+00,-1.023595201709896152e+00
-2.000394599999999912e+00,-1.948573600000000017e+00,-1.022813487639007812e+00
-1.994828599999999952e+00,-2.058173700000000217e+00,-1.016166649083306339e+00
-1.992204400000000097e+00,-2.251549600000000151e+00,-1.013032866521705433e+00
-1.989085299999999945e+00,1.909613000000000005e+00,-1.009308081372749299e+00
-1.987759999999999971e+00,-2.190629400000000171e+00,-1.007725426838457006e+00
-1.985100800000000110e+00,1.982138799999999978e+00,-1.004549847771385451e+00
-1.984156000000000031e+00,-2.090609999999999857e+00,-1.003421580960852211e+00
-1.976863800000000060e+00,-2.071436799999999856e+00,-9.947133387553390715e-01
-1.972252300000000069e+00,-1.568777899999999947e+00,-9.892063506131152373e-01
-1.969586300000000012e+00,-1.942259600000000086e+00,-9.860226510821233914e-01
-1.949587500000000029e+00,-2.036582699999999857e+00,-9.621403666933767695e-01
-1.946786899999999987e+00,-1.907029199999999980e+00,-9.587959297442035789e-01
-1.924006499999999953e+00,-1.974973199999999984e+00,-9.315918979378250420e-01
-1.915388499999999938e+00,1.714416099999999998e+00,-9.213004041050841808e-01
-1.915383199999999952e+00,-1.769461200000000067e+00,-9.212940749199700630e-01
-1.913228900000000010e+00,-2.060586699999999993e+00,-9.187214402989589690e-01
-1.912857599999999936e+00,1.719641600000000103e+00,-9.182780390852089969e-01
-1.909400500000000056e+00,-1.905188499999999951e+00,-9.141496191119939940e-01
-1.908916099999999894e+00,-1.889244200000000040e+00,-9.135711554762802056e-01
-1.901414699999999902e+00,-1.818519999999999914e+00,-9.046130895866396626e-01
-1.896030300000000057e+00,-2.049451499999999982e+00,-8.981831151850373507e-01
-1.889913699999999919e+00,-1.748358400000000090e+00,-8.908787578889890701e-01
-1.881628499999999926e+00,-1.743815499999999963e+00,-8.809846891139803127e-01
-1.875955599999999945e+00,-1.509144899999999900e+00,-8.742101920887128674e-01
-1.869300500000000032e+00,1.827429299999999923e+00,-8.662627657013522997e-01
-1.861807299999999943e+00,-1.478212999999999999e+00,-8.573144921358504256e-01
-1.844307799999999942e+00,-1.744203299999999901e+00,-8.364168364934683186e-01
-1.843333799999999911e+00,-1.856340099999999937e+00,-8.352536994555140870e-01
-1.837535499999999988e+00,-1.867175000000000029e+00,-8.283294515220747112e-01
-1.832934800000000086e+00,-1.928123299999999984e+00,-8.228353605872533727e-01
-1.832239699999999916e+00,1.558927799999999975e+00,-8.220052819886063400e-01
-1.830356600000000000e+00,-1.737378599999999995e+00,-8.197565105756993153e-01
-1.821288400000000030e+00,-2.099321900000000074e+00,-8.089273942640190507e-01
-1.821152199999999999e+00,1.744367699999999965e+00,-8.087647461484447353e-01
-1.820592900000000069e+00,-1.671197899999999903e+00,-8.080968379910240529e-01
-1.805315699999999968e+00,-1.281291100000000016e+00,-7.898530216088529565e-01
-1.805272599999999894e+00,1.631834699999999971e+00,-7.898015521978304365e-01
-1.785385100000000058e+00,-1.499086700000000105e+00,-7.660521806964807334e-01
-1.784675500000000081e+00,-1.724070400000000003e+00,-7.652047864027103907e-01
-1.782558400000000098e+00,1.353236399999999895e+00,-7.626765754960852517e-01
-1.777994000000000074e+00,-1.963588099999999947e+00,-7.572258335083661418e-01
-1.772924500000000014e+00,1.796003299999999969e+00,-7.511719082374123113e-01
-1.752403900000000014e+00,-1.839079499999999978e+00,-7.266664976613920190e-01
-1.744966000000000017e+00,-1.634241400000000066e+00,-7.177842625745338712e-01
-1.727339500000000028e+00,-1.734104599999999996e+00,-6.967349453265869741e-01
-1.725047500000000067e+00,1.664819599999999955e+00,-6.939978713111957243e-01
-1.724675299999999911e+00,1.500604100000000107e+00,-6.935533953301620258e-01
-1.723498699999999939e+00,1.665499400000000074e+00,-6.921483162348264218e-01
-1.720131400000000088e+00,-1.419032700000000036e+00,-6.921483162348264218e-01
-1.719290100000000043e+00,1.333227799999999963e+00,-6.921483162348264218e-01
-1.716510299999999933e+00,-1.956844299999999981e+00,-6.921483162348264218e-01
-1.712064100000000089e+00,-1.597103099999999998e+00,-6.921483162348264218e-01
-1.708571199999999957e+00,-1.613497900000000040e+00,-6.921483162348264218e-01
-1.707607099999999933e+00,1.418719599999999970e+00,-6.921483162348264218e-01
-1.705257100000000081e+00,1.577658900000000086e+00,-6.921483162348264218e-01
-1.703857399999999966e+00,-1.853568700000000069e+00,-6.921483162348264218e-01
-1.697093500000000033e+00,-1.824046899999999916e+00,-6.921483162348264218e-01
-1.696177499999999894e+00,-1.699550700000000081e+00,-6.921483162348264218e-01
-1.693751800000000030e+00,-1.546913900000000064e+00,-6.921483162348264218e-01
-1.688907600000000064e+00,-1.397195500000000035e+00,-6.921483162348264218e-01
-1.685675000000000034e+00,-1.371738700000000089e+00,-6.921483162348264218e-01
-1.683237799999999895e+00,-1.445937999999999946e+00,-6.921483162348264218e-01
-1.675005000000000077e+00,-1.748376099999999989e+00,-6.921483162348264218e-01
-1.672420400000000029e+00,1.864830399999999999e+00,-6.921483162348264218e-01
-1.666785299999999914e+00,-1.441340700000000030e+00,-6.921483162348264218e-01
-1.665439700000000078e+00,1.607572900000000082e+00,-6.921483162348264218e-01
-1.663576200000000060e+00,-1.475616000000000039e+00,-6.921483162348264218e-01
-1.663260699999999925e+00,-2.111263999999999807e+00,-6.921483162348264218e-01
-1.660865700000000000e+00,-1.704324100000000008e+00,-6.921483162348264218e-01
-1.658547999999999911e+00,-1.506816399999999945e+00,-6.921483162348264218e-01
-1.646573300000000017e+00,-1.307959700000000058e+00,-6.921483162348264218e-01
-1.645261800000000108e+00,-1.545787400000000034e+00,-6.921483162348264218e-01
-1.636757000000000017e+00,-1.791407900000000053e+00,-6.921483162348264218e-01
