x,density
-1.922607217463261131e+00,1.711318895123123442e-12
-1.917725836711050125e+00,2.103733930459748085e-12
-1.912844455958838896e+00,2.583659446923858690e-12
-1.907963075206627890e+00,3.170038699625651646e-12
-1.903081694454416883e+00,3.885786640302274075e-12
-1.898200313702205655e+00,4.758594371450414029e-12
-1.893318932949994648e+00,5.821890523236313453e-12
-1.888437552197783642e+00,7.115988922287739435e-12
-1.883556171445572414e+00,8.689457170386686494e-12
-1.878674790693361407e+00,1.060074689041253309e-11
-1.873793409941150401e+00,1.292013356885584402e-11
-1.868912029188939172e+00,1.573202229219642128e-11
-1.864030648436728166e+00,1.913768542581087812e-11
-1.859149267684517159e+00,2.325850963349701312e-11
-1.854267886932305931e+00,2.823984282866671048e-11
-1.849386506180094925e+00,3.425554696519978266e-11
-1.844505125427883918e+00,4.151338033664394961e-11
-1.839623744675672690e+00,5.026135362110207754e-11
-1.834742363923461683e+00,6.079522769992062371e-11
-1.829860983171250677e+00,7.346734876146795008e-11
-1.824979602419039448e+00,8.869704790999038370e-11
-1.820098221666828442e+00,1.069828690375092775e-10
-1.815216840914617435e+00,1.289169307662756700e-10
-1.810335460162406429e+00,1.552017766005981703e-10
-1.805454079410195201e+00,1.866701229081068902e-10
-1.800572698657984194e+00,2.243079779582882363e-10
-1.795691317905773188e+00,2.692816780781953210e-10
-1.790809937153561959e+00,3.229694702724861554e-10
-1.785928556401350953e+00,3.869983657768983850e-10
-1.781047175649139946e+00,4.632870975126975893e-10
-1.776165794896928718e+00,5.540961380069262529e-10
-1.771284414144717712e+00,6.620858749590928830e-10
-1.766403033392506705e+00,7.903842014059096794e-10
-1.761521652640295477e+00,9.426649587358174905e-10
-1.756640271888084470e+00,1.123238876268989352e-09
-1.751758891135873464e+00,1.337158883663061537e-09
-1.746877510383662235e+00,1.590341935256109125e-09
-1.741996129631451229e+00,1.889709782177132273e-09
-1.737114748879240222e+00,2.243351462565928739e-09
-1.732233368127028994e+00,2.660710656864222870e-09
-1.727351987374817988e+00,3.152801478611388834e-09
-1.722470606622606981e+00,3.732456746700817373e-09
-1.717589225870395753e+00,4.414613318310979724e-09
-1.712707845118184746e+00,5.216639658942076140e-09
-1.707826464365973740e+00,6.158711493936128960e-09
-1.702945083613762511e+00,7.264242131917744122e-09
-1.698063702861551505e+00,8.560374882777671779e-09
-1.693182322109340499e+00,1.007854591983378563e-08
