x,density
-2.555729645028223196e+00,3.076220564033865080e-34
-2.550664350505968514e+00,6.297327252978133192e-34
-2.545599055983713832e+00,1.284443612820912366e-33
-2.540533761461459594e+00,2.610320372199275800e-33
-2.535468466939204912e+00,5.285579032360509408e-33
-2.530403172416950230e+00,1.066378346572065518e-32
-2.525337877894695549e+00,2.143631121624805820e-32
-2.520272583372441311e+00,4.293473414327487283e-32
-2.515207288850186629e+00,8.568158489764084850e-32
-2.510141994327931947e+00,1.703672813918079692e-31
-2.505076699805677265e+00,3.375241747217920260e-31
-2.500011405283422583e+00,6.662597286375415531e-31
-2.494946110761168345e+00,1.310395013883468373e-30
-2.489880816238913663e+00,2.567916447749431365e-30
-2.484815521716658981e+00,5.013944643927780291e-30
-2.479750227194404300e+00,9.754346290533683240e-30
-2.474684932672150062e+00,1.890761684337528224e-29
-2.469619638149895380e+00,3.651702636443044282e-29
-2.464554343627640698e+00,7.027065570294974158e-29
-2.459489049105386016e+00,1.347325705488244366e-28
-2.454423754583131334e+00,2.573897062333971906e-28
-2.449358460060877096e+00,4.899251581312791597e-28
-2.444293165538622414e+00,9.291552764758874184e-28
-2.439227871016367732e+00,1.755766839088738755e-27
-2.434162576494113051e+00,3.305714752211595008e-27
-2.429097281971858813e+00,6.201316514287348881e-27
-2.424031987449604131e+00,1.159104012828078831e-26
-2.418966692927349449e+00,2.158643424167910653e-26
-2.413901398405094767e+00,4.005524550412276603e-26
-2.408836103882840085e+00,7.405559495666522325e-26
-2.403770809360585847e+00,1.364194648683651424e-25
-2.398705514838331165e+00,2.503887410753371566e-25
-2.393640220316076483e+00,4.579027379840142629e-25
-2.388574925793821802e+00,8.343565370075890821e-25
-2.383509631271567120e+00,1.514781854963550700e-24
-2.378444336749312882e+00,2.740113196727972271e-24
-2.373379042227058200e+00,4.938634696053669003e-24
-2.368313747704803518e+00,8.868808772811701844e-24
-2.363248453182548836e+00,1.586878467771639927e-23
-2.358183158660294154e+00,2.829059180607699152e-23
-2.353117864138039916e+00,5.025281406642550684e-23
-2.348052569615785234e+00,8.894032851517668864e-23
-2.342987275093530553e+00,1.568400820437795823e-22
-2.337921980571275871e+00,2.755721858951904388e-22
-2.332856686049021633e+00,4.824293153130753523e-22
-2.327791391526766951e+00,8.414958687848142903e-22
-2.322726097004512269e+00,1.462481142493989594e-21
-2.317660802482257587e+00,2.532494730780285881e-21
-2.312595507960002905e+00,4.369450409293813450e-21
-2.307530213437748667e+00,7.511472261688391684e-21
-2.302464918915493985e+00,1.286599296894765890e-20
-2.297399624393239304e+00,2.195743169578152869e-20
-2.292334329870984622e+00,3.733702924649770192e-20
-2.287269035348730384e+00,6.325836580463085461e-20
-2.282203740826475702e+00,1.067864540248872273e-19
-2.277138446304221020e+00,1.796115875251003437e-19
-2.272073151781966338e+00,3.010041797722930576e-19
-2.267007857259711656e+00,5.026094963813619562e-19
-2.261942562737457418e+00,8.361974570428418092e-19
-2.256877268215202736e+00,1.386139641513274244e-18
-2.251811973692948055e+00,2.289418111226514149e-18
-2.246746679170693373e+00,3.767586510524028794e-18
-2.241681384648439135e+00,6.177622148173722350e-18
-2.236616090126184453e+00,1.009251580727322038e-17
-2.231550795603929771e+00,1.642848532619063903e-17
-2.226485501081675089e+00,2.664499229818838104e-17
-2.221420206559420407e+00,4.305798110807394250e-17
-2.216354912037166169e+00,6.932848592884873346e-17
-2.211289617514911487e+00,1.112217585638844062e-16
-2.206224322992656806e+00,1.777820003707683345e-16
-2.201159028470402124e+00,2.831429864803809667e-16
-2.196093733948147886e+00,4.493076548008755590e-16
-2.191028439425893204e+00,7.103981405628717862e-16
-2.185963144903638522e+00,1.119128107987185358e-15
-2.180897850381383840e+00,1.756619827566960847e-15
-2.175832555859129158e+00,2.747234594510300230e-15
-2.170767261336874920e+00,4.280886390564434601e-15
-2.165701966814620238e+00,6.646479162196101228e-15
-2.160636672292365557e+00,1.028181019137006886e-14
-2.155571377770110875e+00,1.584774617457770649e-14
-2.150506083247856637e+00,2.433802993692292970e-14
-2.145440788725601955e+00,3.724117072773351103e-14
-2.140375494203347273e+00,5.677814759875941632e-14
-2.135310199681092591e+00,8.625000004684167555e-14
-2.130244905158837909e+00,1.305440189807740403e-13
-2.125179610636583671e+00,1.968678709116974186e-13
-2.120114316114328989e+00,2.958098974845457985e-13
-2.115049021592074308e+00,4.428641735031676889e-13
-2.109983727069819626e+00,6.606149342867091428e-13
-2.104918432547565388e+00,9.818524271892044639e-13
-2.099853138025310706e+00,1.453998775535497830e-12
-2.094787843503056024e+00,2.145368284250232744e-12
-2.089722548980801342e+00,3.153985294958227625e-12
-2.084657254458546660e+00,4.619952025313331691e-12
-2.079591959936291978e+00,6.742722111025740165e-12
-2.074526665414037740e+00,9.805123127830336915e-12
-2.069461370891783059e+00,1.420662239828657177e-11
