x,density
-5.874142651363770895e+00,6.179827421740994316e-11
-5.862173035778535990e+00,9.201817473156874604e-11
-5.850203420193301973e+00,1.363729715984460503e-10
-5.838233804608067068e+00,2.011596835276338632e-10
-5.826264189022833051e+00,2.953330623918080296e-10
-5.814294573437598146e+00,4.315610307859686073e-10
-5.802324957852364129e+00,6.276708397234218056e-10
-5.790355342267129224e+00,9.086190102400213918e-10
-5.778385726681895207e+00,1.309158967671595989e-09
-5.766416111096660302e+00,1.877432028212270320e-09
-5.754446495511426285e+00,2.679772402064768211e-09
-5.742476879926191380e+00,3.807097802103351074e-09
-5.730507264340957363e+00,5.383357054401781038e-09
-5.718537648755722458e+00,7.576628006825940228e-09
-5.706568033170487553e+00,1.061360639189167476e-08
-5.694598417585253536e+00,1.479840250933215455e-08
-5.682628802000018631e+00,2.053677086660857019e-08
-5.670659186414784614e+00,2.836714102553683281e-08
-5.658689570829549709e+00,3.900009783740194406e-08
-5.646719955244315692e+00,5.336827677446973286e-08
-5.634750339659080787e+00,7.268899420481022540e-08
-5.622780724073846770e+00,9.854231987042064097e-08
-5.610811108488611865e+00,1.329677131171733972e-07
-5.598841492903377848e+00,1.785827753671044858e-07
-5.586871877318142943e+00,2.387281040765717507e-07
-5.574902261732908926e+00,3.176426477323004263e-07
-5.562932646147674021e+00,4.206743309088382462e-07
-5.550963030562439116e+00,5.545310099270845327e-07
-5.538993414977205099e+00,7.275769930130799938e-07
-5.527023799391970194e+00,9.501803667425933149e-07
-5.515054183806736177e+00,1.235116158954018077e-06
-5.503084568221501272e+00,1.598029877477565699e-06
-5.491114952636267255e+00,2.057965130133652019e-06
-5.479145337051032350e+00,2.637957789015966219e-06
-5.467175721465798333e+00,3.365697447210685442e-06
-5.455206105880563427e+00,4.274254670704412069e-06
-5.443236490295329411e+00,5.402869724958406183e-06
-5.431266874710094505e+00,6.797795023747330183e-06
-5.419297259124860489e+00,8.513179499621731009e-06
-5.407327643539625583e+00,1.061197845281592182e-05
-5.395358027954390678e+00,1.316686725714550862e-05
-5.383388412369156661e+00,1.626113168887775124e-05
-5.371418796783921756e+00,1.998950174730263925e-05
-5.359449181198687739e+00,2.445888985524691760e-05
-5.347479565613452834e+00,2.978898851884800175e-05
-5.335509950028218817e+00,3.611267719514513002e-05
-5.323540334442983912e+00,4.357618361696935077e-05
-5.311570718857749895e+00,5.233894154857227576e-05
